a,G,F_imp,u_imp,l,F,u,fracture_dissipation
0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
0.000625,1.8091266575800768e-14,2.7377659379417903e-07,2.745713992090898e-14,386320180.7285929,105.7654231938258,1.060724725653582e-05,0.0
0.00062646484375,1.8266780355558962e-14,2.738958877993737e-07,2.7663690323755385e-14,384459749.5655611,105.30194443038422,1.0635575453930232e-05,3.955078124999956e-06
0.0006279296875,1.8450447700403926e-14,2.725768460691451e-07,2.7868029787950017e-14,382541386.56715363,104.27192464139237,1.0660674755977141e-05,7.910156250000133e-06
0.00062939453125,1.8645444973304863e-14,2.75645858896062e-07,2.806729895913935e-14,380535787.22620076,104.8931139106552,1.0680611704729217e-05,1.1865234374999867e-05
0.000630859375,1.8834902473910203e-14,2.7388621508711496e-07,2.8259287193305483e-14,378617073.39204276,103.69799719870701,1.0699448613274557e-05,1.5820312500000043e-05
0.00063232421875,1.902311603661264e-14,2.7542965741714075e-07,2.848073906674958e-14,376739410.2314814,103.76520669559257,1.0729816838963948e-05,1.9775390625e-05
0.0006337890625,1.9222559680211448e-14,2.757422711935799e-07,2.8665044794162627e-14,374779884.5779193,103.3426565711832,1.0743082179377156e-05,2.3730468749999955e-05
0.00063525390625,1.9427022724046347e-14,2.740980827343379e-07,2.888359275363691e-14,372802450.1579656,102.18443682696193,1.07678741479207e-05,2.7685546874999912e-05
0.00063671875,1.9629796274890588e-14,2.739211132812514e-07,2.910509841756337e-14,370871948.4106308,101.58965699342683,1.0794264558804895e-05,3.1640625000000086e-05
0.00063818359375,1.9834979767636e-14,2.7359263975844335e-07,2.932385122232448e-14,368948714.21767205,100.94165265829642,1.0818997204386929e-05,3.559570312499982e-05
0.0006396484375,2.0035678990859817e-14,2.758540942866364e-07,2.9541968825906027e-14,367096166.8022039,101.26498060931796,1.0844743515780305e-05,3.955078125e-05
0.00064111328125,2.024136246738689e-14,2.75721666629684e-07,2.976989390929137e-14,365226272.66550314,100.70079659627993,1.087274739013795e-05,4.350585937499996e-05
0.000642578125,2.045535864478897e-14,2.7869940519667415e-07,2.997814951054169e-14,363310820.67689335,101.25450962416572,1.089138610104951e-05,4.746093750000013e-05
0.00064404296875,2.0665562734879743e-14,2.7681903730355656e-07,3.021636838120615e-14,361458351.97450656,100.058553018913,1.0921958717725365e-05,5.141601562499987e-05
0.0006455078125,2.0883721215616282e-14,2.7255451920856436e-07,3.043146171307587e-14,359565436.8202482,98.00118475656016,1.0942101823940784e-05,5.537109375000005e-05
0.00064697265625,2.110330253713725e-14,2.6989690961340576e-07,3.06646133209259e-14,357689893.66239464,96.53939689942804,1.0968422277960436e-05,5.9326171875e-05
0.0006484375,2.1318539973312692e-14,2.7212900715064877e-07,3.0902036993620904e-14,355879648.5367665,96.8451754214321,1.0997406064359964e-05,6.328125000000017e-05
0.00064990234375,2.1536794667143103e-14,2.734674863863417e-07,3.113935487754708e-14,354071807.7653274,96.82712726985206,1.102556767413916e-05,6.723632812499991e-05
0.0006513671875,2.17709446840364e-14,2.739412716568097e-07,3.137469103060738e-14,352162610.7948285,96.47187343111746,1.1048993106219781e-05,7.119140625000009e-05
0.00065283203125,2.200538069122272e-14,2.759395759598547e-07,3.1638350485089717e-14,350281692.0909087,96.65658158206573,1.1082334942882449e-05,7.514648437500005e-05
0.000654296875,2.223216189107528e-14,2.7540008473268305e-07,3.188216597112568e-14,348490572.551754,95.97433320929429,1.1110634273467636e-05,7.91015625e-05
0.00065576171875,2.2476765992156985e-14,2.752207056224071e-07,3.213052536282747e-14,346589155.6264981,95.38851197259906,1.1136091655338155e-05,8.305664062499996e-05
0.0006572265625,2.271040514155112e-14,2.7532054128509235e-07,3.237927996629641e-14,344801733.9433327,94.93100002531675,1.1164431876215617e-05,8.701171875000013e-05
0.00065869140625,2.2955252641520476e-14,2.7871884648280777e-07,3.262737497900593e-14,342957925.57964975,95.58883740969661,1.1189816839909242e-05,9.096679687499987e-05
0.00066015625,2.3202061859910224e-14,2.7710286961160765e-07,3.287538931144979e-14,341128961.32380855,94.52781409045447,1.1214747408930703e-05,9.492187500000005e-05
0.00066162109375,2.343612096091178e-14,2.7644126081069944e-07,3.3124946530462676e-14,339421240.7198104,93.83003573051631,1.124331045014702e-05,9.8876953125e-05
0.0006630859375,2.3681808289897023e-14,2.773178543434725e-07,3.337973069206364e-14,337655984.6019811,93.63803315605398,1.1270865832577717e-05,0.00010283203125000018
0.00066455078125,2.3955782614809022e-14,2.790985185005756e-07,3.364589564597892e-14,335719602.5978732,93.6988437166684,1.1295586715317556e-05,0.00010678710937499991
0.000666015625,2.4204675923438015e-14,2.7567412162562843e-07,3.390897861025056e-14,333989063.4402927,92.07214169646899,1.1325228008254502e-05,0.0001107421875000001
0.00066748046875,2.4460673079307875e-14,2.76004673594453e-07,3.417101410307221e-14,332236758.1670238,91.69889799396861,1.135286694888436e-05,0.00011469726562500005
0.0006689453125,2.4744234235411924e-14,2.7596005352495775e-07,3.443474334820163e-14,330327608.36948806,91.1572244864152,1.1374746415028582e-05,0.00011865234375000023
0.00067041015625,2.5014102141139568e-14,2.7360891049574265e-07,3.470224819542527e-14,328540884.968227,89.8917135894637,1.1401107332512078e-05,0.00012260742187499997
