phi,G_star,G_c,G_star_cc,G_star_cp,G_star_pp
2.4609146,300.28327068077056,7550.3232421875,212142080.0,0.0,0.0
2.4783678,278.3576601557198,8000.2177734375,196652224.0,0.0,0.0
2.4958212,257.4256726165153,8446.21875,181864336.0,0.0,0.0
2.5132744,237.65483317487286,8887.771484375,167896768.0,0.0,0.0
2.5307279,219.2695806380255,9324.3505859375,154908080.0,0.0,0.0
2.548181,202.57880712422266,9755.4111328125,143116496.0,0.0,0.0
2.5656343,187.99200588004166,10180.4326171875,132811312.0,0.0,0.0
2.5830877,176.0504911487803,10598.90625,124374952.0,0.0,0.0
2.6005409,167.46904730935717,11010.310546875,118312392.0,0.0,0.0
2.6179943,163.1788236392681,11414.1513671875,115281464.0,0.0,0.0
2.6354475,164.39268428212125,11809.9306640625,116139024.0,0.0,0.0
2.6529007,172.67780548240842,12197.16796875,121992240.0,0.0,0.0
2.6703541,190.05711467910731,12575.3994140625,134270256.0,0.0,0.0
2.6878073,219.12868923340423,12944.1513671875,154808544.0,0.0,0.0
2.7052608,263.2209498622526,13302.986328125,185958544.0,0.0,0.0
2.722714,326.5876574224574,13651.4580078125,230725424.0,0.0,0.0
2.7401674,414.6518513963167,13989.1494140625,292940416.0,0.0,0.0
2.7576206,534.3062717662882,14315.6396484375,377473056.0,0.0,0.0
2.7750738,694.3035564125495,14630.537109375,490506848.0,0.0,0.0
2.7925272,905.7255922574069,14933.462890625,639870848.0,0.0,0.0
2.8099804,1182.5837928218766,15224.037109375,835463744.0,0.0,0.0
2.8274338,1542.5674238632826,15501.916015625,1089782528.0,0.0,0.0
2.844887,2007.9486964622652,15766.751953125,1418561920.0,0.0,0.0
2.8623405,2606.7713641450023,16018.23046875,1841614080.0,0.0,0.0
2.8797936,3374.2113067160385,16256.0380859375,2383789824.0,0.0,0.0
2.8972468,4354.4208691791555,16479.888671875,3076281600.0,0.0,0.0
2.9147003,5602.7035854533915,16689.509765625,3958159872.0,0.0,0.0
2.9321535,7188.127361756872,16884.646484375,5078219264.0,0.0,0.0
2.949607,9197.057519384653,17065.060546875,6497474560.0,0.0,0.0
2.96706,11737.057273935441,17230.52734375,8291916288.0,0.0,0.0
2.9845133,14942.117000986163,17380.8515625,10556205056.0,0.0,0.0
3.0019667,18979.040527980844,17515.849609375,13408183296.0,0.0,0.0
3.01942,24054.582967731916,17635.353515625,16993917952.0,0.0,0.0
3.0368733,30425.720820821203,17739.220703125,21494956032.0,0.0,0.0
3.0543265,38410.23515994549,17827.322265625,27135801344.0,0.0,0.0
3.07178,48401.84537335998,17899.552734375,34194606080.0,0.0,0.0
3.0892332,60886.63437134328,17955.82421875,43014774784.0,0.0,0.0
3.1066864,76464.62370076074,17996.06640625,54020206592.0,0.0,0.0
3.1241398,95876.11011420221,18020.23046875,67733901312.0,0.0,0.0
3.1415927,120030.92133836269,18028.2890625,84798627840.0,0.0,0.0
